"Capaian Pembelajaran Lulusan
(Student Outcomes)",KKNI
"An ability to identify, formulate, and solve
complex mechanical engineering problems using
A1
analytical skills by applying principles of
engineering, science, and mathematics.","PP1, PP2, PP3,
PP4"
"An ability to design, construct, operate, and
maintain mechanical engineering-related
mechanisms and systems to meet specified needs
by considering social, cultural, and economic
A2
responsibilities, respect for social and cultural
values, and consideration of health, safety,
environmental, and sustainable development
principles.","PP1, PP2, PP3,
PP4. KK1, KK2,
KU1, KU2,
KU3, S9"
"An ability to develop and conduct experiments,
analyze and interpret data, and utilize modern
A3
techniques, skills, and engineering tools essential
for mechanical engineering practice.","PP3, PP4,
KK1,KK2 KU1,
KU2, KU3,"
"An ability to recognize ethical and professional
B1
responsibilities in engineering situations.","S8, S9, S12,
S13, KU1, KU2"
"An ability to communicate effectively with
B2 engineers and the general public.","KU9, KU13"
"Recognizing the need for and the ability to
engage in lifelong learning, understanding, and
support for innovation and entrepreneurial
B3 activities, as well as awareness of contemporary
issues.","S1, S2, S3, S4,
S5, S6, S7, S8,
S9, S11, S12,
S13, KK2, KK3,
KU3, KU5,
KU6, KU7,
KU10, PP4"
"An ability to work effectively as an individual or
within a multi-disciplinary and/or multi-cultural
C1
team, either as a member or a leader. (Teamwork
and leadership)","S3, S4, S5, S6,
KU5, KU10"
