NO,KODE,MATA KULIAH,SKS,KETERANGAN
1.,TKI211101,Kalkulus 1/ Calculus 1,3,
2.,TKI211201,Fisika 1 / Physics 1,3,
3.,TKI211103,Aljabar Linier/ Linear Algebra,3,
4.,TKI211202,"Biologi: Anatomi dan Fisiologi /
Biology: Human Anatomy and
Physiology",2,
5.,TKI211203,Kimia/Chemistry,2,
6.,TKI211301,"Menggambar Teknik/ Engineering
Drawing",3,"Lab
Perancangan"
7.,TKI211601,"Pengantar Teknik Industri /
Introduction to Industrial Engineering",2,
8.,TKI211102,Probabilitas / Probability,2,
Jumlah = 8 mata kuliah dengan total 20 SKS,,,,
