No.,Kode,Mata Kuliah,SKS,Sifat
1,"TKM
2561001","Metode Eksperimental Teknik (Engineering
Experimental Methods)",3,MKW
2,"TKM
2561002","Metode Analisis Teknik dan Pemodelan
Sistem (Engineering Analysis Methods and
System Modelling)",2,MKW
3,"TKM
25xxxxx","Etika dan Teknik Penulisan Ilmiah (Ethics
and Academic Writing)*",2,MKW
4,"TKM
25xxxxx","Kolaborasi dan Jejaring (Collaboration and
Networking)*",2,MKW
5,"TKM
25xxxxx",Mata Kuliah Pilihan (Elective Course),3,MKP
6,"TKM
25xxxxx",Persiapan Penelitian (Preliminary Research),2,MKR
total,14,,,
sks,,,,
