No.,Kode,Mata Kuliah,SKS,Sifat
1,"TKM
2561001","Metode Eksperimental Teknik
(Engineering Experimental Methods)",3,MKW
2,"TKM
2561002","Metode Analisis Teknik dan Pemodelan
Sistem (Engineering Analysis Methods
and System Modelling)",2,MKW
3,"TKM
2561003","Metode Numerik Lanjut (Advanced
Numerical Methods)",2,MKW
4,"TKM
2561004","Analisis Sistem Energi (Energy System
Analysis)",2,MKW
5,"TKM
2561005","Perancangan dan Manufaktur
Keteknikan (Engineering Design and
Manufacture)",2,MKW
6,"TKM
2561006","Material Teknik Lanjut (Advanced
Engineering Materials)",2,MKW
Total sks,13,,,
