NO,KODE,MATA KULIAH,SKS,KETERANGAN
1.,UNU222001,"Kuliah Kerja Nyata Pembelajaran
Pemberdayaan Masyarakat / Student
Community Service-Community
Empowerment",4,"Dilaksanakan
secara terpusat
di universitas"
2.,UNU222002,"Komunikasi Masyarakat / Social
Communication",2,
3.,UNU222003,"Penerapan Teknologi Tepat Guna /
Applied Technology Implementation",2,
4.,UNU 242033,Literasi Kesehatan/Health Literacy,2,
5.,TKI214616,Kerja Pratik / Industrial Internship,2,
6.,TKI214708,Skripsi / Final Project,3,
7.,TKI214709,Pendadaran / Oral Examination,1,
Jumlah = 7 mata kuliah dengan total 16 SKS,,,,
