NO,KODE,MATA KULIAH,SKS,KETERANGAN
1.,TKM213101,Elemen Mesin 2 / Machine Elements 2,3,
2.,TKM213102,Getaran Mekanis / Mechanical Vibration,3,
3.,TKM213103,"Perpindahan Kalor dan Massa 2 /
Heat and Mass Transfer 2",2,
4.,TKM213104,CAD/CAM,3,
5.,TKM213105,Mekatronika / Mechatronics,2,
6.,TKM213106,Metode Numerik / Numerical Methods,2,
7.,TKM213107,"Praktikum Getaran Mekanis /
Mechanical Vibration Labworks",1,Dinamika
8.,TKM213108,"Praktikum Termofluida 1 /
Thermofluid 1 Labworks",1,"Perpindahan
Kalor dan
Mekanika Fluida"
"Jumlah = 8 mata kuliah, dengan 17 SKS",,,,
