NO,KODE,MATA KULIAH,SKS,KETERANGAN
TKM212101,Matematika 3/ Mathematics 3,3,,
TKM212102,"Variabel Kompleks / Complex
Variable",2,,
TKM212103,"Mekanika Material 1/
Mechanics of Materials 1",3,,
TKM212104,"Dinamika dan Kinematika / Dynamics
and Kinematics",3,,
TKM212105,Mekanika Fluida 1 / Fluid Mechanics 1,3,,
TKM212106,"Termodinamika 2 / Thermodynamics
2",3,,
TKM212107,"Teknik Manufaktur 1 /
Manufacture Engineering 1",2,,
TKM212108,"Praktikum Material Teknik /
Engineering Materials Labworks",1,"Material
Teknik",
"Jumlah = 8 mata kuliah, dengan 20 SKS",,,,
