No.,Kategori,Definisi
1,"Mata Kuliah
Wajib (MKW)","Mata kuliah yang memuat pengetahuan dasar dan
umum yang wajib diambil pada Program Magister
Program Studi Teknik Mesin UGM."
2,"Mata Kuliah
Wajib KBK
(MKWK)","Mata kuliah yang memuat pengetahuan spesifik
dan mendalam keilmuan KBK dan wajib diambil
oleh mahasiswa sesuai keilmuan KBK yang dipilih."
3,"Mata Kuliah
Pilihan (MKP)","Mata kuliah yang mewadahi materi peminatan
khusus yang lebih mendalam serta terkait langsung
dengan peminatan penelitian dan topik tesis yang
bisa dipilih pada Program Magister Program Studi
Teknik Mesin UGM."
