No,Sifat,Nama Mata Kuliah,Kode,SKS
20.,MKP,"Perkembangan Terkini di DMMT
(Recent Progress in i-DMM)",TKM2572309,3
"Deskripsi Mata Kuliah (Course Description):
Mata kuliah ini berisi tentang perkembangan terkini dalam berbagai bidang yang
menjadi fokus riset tim dosen dalam cluster DMMT.
Tujuan Pembelajaran (Course Objective):
Perkembangan ilmu dan teknologi di bidang desain, mekanika, serta manufaktur
terjadi dengan cepat dan kontinu. Mata kuliah ini bertujuan memberikan wawasan
kepada mahasiswa tentang hal terkini di bidang desain, mekanika, serta manufaktur,
yang tidak dapat disampaikan dalam mata kuliah wajib atau pilihan lainnya, baik
karena keterbatasan waktu ataupun karena begitu dinamisnya perkembangan ilmu
dan teknologi tersebut. Berpijak pada materi yang disampaikan melalui mata kuliah
ini, diharapkan mahasiswa dapat mendalami secara mandiri informasi lebih lanjut
tentang ilmu atau teknologi terkini yang diminatinya. Format dari mata kuliah ini
adalah menyampaikan beberapa topik secara rotasi dari sejumlah ilmu dan teknologi
terkini yang telah diidentifikasi. Cakupan materi tersebut dapat diperbarui di",,,,
