No,"Nama
Peminatan",Mata Kuliah,Kode,SKS
1,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Getaran dan Akustik Lanjut
(Advanced Vibration and Acoustics)",TKM2272301,3
2,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Dinamika dan Kontrol Robotika
(Robotics Dynamics and Control)",TKM2272302,3
3,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Teknik Manufaktur Lanjut (Advanced
Manufacturing)",TKM2572303,3
4,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Mekanika Struktur Ringan
(Lightweight Structure Mechanics)",TKM2572304,3
5,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Analisis Elemen Hingga pada Struktur
(Finite Element Analysis of Structure)",TKM2572305,3
6,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Manufaktur Mikro Nano (Micro Nano
Manufacturing)",TKM2572306,3
7,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Desain dan Manufaktur Wahana
Tanpa Awak (Design and
Manufacture for Unmanned Vehicle)",TKM2572307,3
8,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Manufaktur Komposit (Composite
Manufacturing)",TKM2572308,3
9,"Desain, Mekanika dan
Mafakturtur Terintegrasi","Perkembangan Terkini Di DMMT
(Recent Progress in i-DMM)",TKM2572309,3
