Nama Peminatan,No,"Kode
Usulan",Mata Kuliah,SKS
"Teknik Rantai Pasok
dan Riset
Operasi (Supply
Chain Engineering
and Operations
Research)",2,"TKI25
8132","Kecerdasan Buatan
(Artificial Intelligence)",3
"Teknik Rantai Pasok
dan Riset
Operasi (Supply
Chain Engineering
and Operations
Research)",3,"TKI25
8133","Pemodelan Sistem
Kompleks dan Simulasi
(Complex System
Modeling and Simulation)",3
"Teknik Rantai Pasok
dan Riset
Operasi (Supply
Chain Engineering
and Operations
Research)",4,"TKI25
Engin
8134",eering for Sustainability,3
"Teknik Rantai Pasok
dan Riset
Operasi (Supply
Chain Engineering
and Operations
Research)",5,"TKI25
8135","Ekonomi Energi dan
Kebijakan (Energy
Economics and Policy)",3
"Teknik Rantai Pasok
dan Riset
Operasi (Supply
Chain Engineering
and Operations
Research)",6,"TKI25
8136","Analisis Keputusan
Lanjut (Advanced
Decision Analysis)",3
"Teknik Rantai Pasok
dan Riset
Operasi (Supply
Chain Engineering
and Operations
Research)",8,"TKI25
8138","Perancangan dan Analisis
Sistem Rantai Pasok
(Supply Chain Design and
Analysis)",3
"Teknik Rantai Pasok
dan Riset
Operasi (Supply
Chain Engineering
and Operations
Research)",9,"TKI25
8139","Topik Terkini di Bidang
Teknik Rantai Pasok
(Current Topics in Supply
Chain Engineering)",3
"Teknik Rantai Pasok
dan Riset
Operasi (Supply
Chain Engineering
and Operations
Research)",10,"TKI25
8140","Topik Terkini di Bidang
Riset Operasi (Current
Topics in Operations
Research)",3
